"CT_ID_10","PropViol2010","PropViol2011","PropViol2012","PropViol2013","PropViol2014","PropViol2015","PropViol2016","PropViol2017","PropViol2018","PropViol2019","PropViol2020","CodeViol2010","CodeViol2011","CodeViol2012","CodeViol2013","CodeViol2014","CodeViol2015","CodeViol2016","CodeViol2017","CodeViol2018","CodeViol2019","CodeViol2020","TotPop","PropViol2010_rate","PropViol2011_rate","PropViol2012_rate","PropViol2013_rate","PropViol2014_rate","PropViol2015_rate","PropViol2016_rate","PropViol2017_rate","PropViol2018_rate","PropViol2019_rate","PropViol2020_rate","CodeViol2010_rate","CodeViol2011_rate","CodeViol2012_rate","CodeViol2013_rate","CodeViol2014_rate","CodeViol2015_rate","CodeViol2016_rate","CodeViol2017_rate","CodeViol2018_rate","CodeViol2019_rate","CodeViol2020_rate"
25025080900,10,4,11,17,16,66,1,4,1,0,0,440,434,441,552,622,1019,605,691,930,968,786,3690,27.10027100271,10.840108401084,29.810298102981,46.0704607046071,43.360433604336,178.861788617886,2.710027100271,10.840108401084,2.710027100271,0,0,1192.41192411924,1176.15176151762,1195.12195121951,1495.93495934959,1685.63685636856,2761.51761517615,1639.56639566396,1872.62872628726,2520.32520325203,2623.30623306233,2130.08130081301
25025081001,8,31,22,9,12,35,8,1,0,5,0,476,364,368,462,626,680,478,401,668,691,612,4807,16.6423965050967,64.4892864572498,45.766590389016,18.7226960682338,24.9635947576451,72.8104847097982,16.6423965050967,2.08029956313709,0,10.4014978156855,0,990.222592053256,757.229040981901,765.55023923445,961.098398169336,1302.26752652382,1414.60370293322,994.38319117953,834.200124817974,1389.64010817558,1437.48699812773,1273.1433326399
25025081100,8,10,9,9,14,51,0,1,1,5,4,451,383,263,320,408,643,654,404,494,515,457,4088,19.5694716242661,24.4618395303327,22.0156555772994,22.0156555772994,34.2465753424658,124.755381604697,0,2.44618395303327,2.44618395303327,12.2309197651663,9.78473581213307,1103.228962818,936.888454011742,643.34637964775,782.778864970646,998.043052837573,1572.89628180039,1599.80430528376,988.25831702544,1208.41487279843,1259.78473581213,1117.9060665362
25025081200,6,5,6,5,9,46,42,3,0,2,4,51,20,24,39,56,93,120,96,62,73,115,3664,16.3755458515284,13.646288209607,16.3755458515284,13.646288209607,24.5633187772926,125.545851528384,114.628820960699,8.18777292576419,0,5.45851528384279,10.9170305676856,139.192139737991,54.5851528384279,65.5021834061135,106.441048034934,152.838427947598,253.82096069869,327.510917030568,262.008733624454,169.213973799127,199.235807860262,313.864628820961
25025081300,4,2,5,9,16,89,48,10,3,0,5,260,59,139,167,142,313,570,346,257,133,240,5326,7.51032669921142,3.75516334960571,9.38790837401427,16.8982350732257,30.0413067968457,167.104769057454,90.123920390537,18.7758167480285,5.63274502440856,0,9.38790837401427,488.171235448742,110.777318813368,260.983852797597,313.556139692077,266.616597822005,587.683064213293,1070.22155463763,649.643259481787,482.538490424333,249.71836274878,450.619601952685
25025081400,5,1,11,4,5,46,21,3,6,4,3,155,123,120,132,161,175,223,295,291,230,326,2941,17.0010200612037,3.40020401224073,37.4022441346481,13.6008160489629,17.0010200612037,156.409384563074,71.4042842570554,10.2006120367222,20.4012240734444,13.6008160489629,10.2006120367222,527.031621897314,418.22509350561,408.024481468888,448.826929615777,547.432845970758,595.035702142129,758.245494729684,1003.06018361102,989.459367562054,782.046922815369,1108.46650799048
25025081500,0,0,1,3,1,26,10,1,3,0,2,276,97,65,36,100,78,186,148,196,138,165,2616,0,0,3.82262996941896,11.4678899082569,3.82262996941896,99.388379204893,38.2262996941896,3.82262996941896,11.4678899082569,0,7.64525993883792,1055.04587155963,370.795107033639,248.470948012232,137.614678899083,382.262996941896,298.165137614679,711.009174311927,565.749235474006,749.235474006116,527.522935779817,630.733944954128
25025081700,5,3,6,5,8,101,85,4,4,14,10,125,49,51,54,97,98,133,214,164,107,263,4151,12.045290291496,7.22717417489762,14.4543483497952,12.045290291496,19.2724644663936,243.31486388822,204.769934955432,9.63623223319682,9.63623223319682,33.7268128161889,24.090580582992,301.132257287401,118.043844856661,122.861960973259,130.089135148157,233.678631655023,236.087689713322,320.404721753794,515.53842447603,395.08552156107,257.769212238015,633.582269332691
25025081800,16,10,23,13,37,106,84,7,14,29,20,565,184,128,153,229,419,355,288,264,301,186,3489,45.8584121524792,28.6615075952995,65.9214674691889,37.2599598738894,106.047578102608,303.811980510175,240.756663800516,20.0630553167097,40.1261106334193,83.1183720263686,57.323015190599,1619.37517913442,527.371739753511,366.867297219834,438.521066208083,656.348523932359,1200.91716824305,1017.48351963313,825.451418744626,756.663800515907,862.711378618515,533.104041272571
25025081900,15,7,8,11,60,110,115,6,10,8,11,86,107,76,77,147,495,413,304,315,251,185,3494,42.9307384087006,20.034344590727,22.8963938179737,31.4825414997138,171.722953634803,314.825414997138,329.135661133372,17.1722953634803,28.6204922724671,22.8963938179737,31.4825414997138,246.136233543217,306.239267315398,217.51574127075,220.377790497997,420.721236405266,1416.71436748712,1182.02633085289,870.062965082999,901.545506582713,718.374356038924,529.479107040641
25025082000,11,9,7,7,40,112,81,16,8,6,14,140,77,46,118,152,425,442,367,424,243,159,3409,32.2675271340569,26.4007040187738,20.5338809034908,20.5338809034908,117.336462305661,328.542094455852,237.606336168965,46.9345849222646,23.4672924611323,17.6004693458492,41.0677618069815,410.677618069815,225.872689938398,134.936931651511,346.142563801701,445.878556761514,1246.69991199765,1296.56790847756,1076.56204165444,1243.76650044001,712.819008506894,466.412437665004
25025082100,7,18,27,10,23,125,66,15,2,17,13,202,83,173,176,171,656,481,460,678,381,335,5750,12.1739130434783,31.304347826087,46.9565217391304,17.3913043478261,40,217.391304347826,114.782608695652,26.0869565217391,3.47826086956522,29.5652173913044,22.6086956521739,351.304347826087,144.347826086957,300.869565217391,306.086956521739,297.391304347826,1140.86956521739,836.521739130435,800,1179.13043478261,662.608695652174,582.608695652174
25025090100,23,23,7,14,39,92,68,7,13,11,23,161,113,88,93,119,316,231,269,302,166,263,5148,44.6775446775447,44.6775446775447,13.5975135975136,27.1950271950272,75.7575757575758,178.710178710179,132.090132090132,13.5975135975136,25.2525252525253,21.3675213675214,44.6775446775447,312.742812742813,219.50271950272,170.940170940171,180.652680652681,231.157731157731,613.830613830614,448.717948717949,522.533022533023,586.635586635587,322.455322455322,510.878010878011
